ArraySize, Bubble Sort, Merge Sort, Counting Sort, Quick Sort, Timsort
1000, 675.4634380340576, 28.74334653218587, 2.673625946044922, 5.681673685709636, 0.3341833750406901
2000, 2181.469440460205, 51.46996180216471, 4.679044087727864, 10.69498062133789, 1.335461934407552
3000, 3422.1034049987793, 58.15426508585612, 3.3432642618815103, 8.700927098592123, 0.6797313690185547
4000, 4003.304402033488, 94.9243704477946, 4.012584686279297, 11.017878850301107, 2.005338668823242
5000, 6460.518836975098, 136.02781295776367, 5.34820556640625, 15.373627344767252, 1.3483365376790364
6000, 8959.500710169474, 189.17997678120932, 6.69550895690918, 19.374529520670574, 2.3388067881266275
7000, 12132.608016331991, 240.30605951944986, 7.02977180480957, 20.710468292236328, 1.9993782043457031
8000, 16174.376328786215, 303.475300470988, 9.02231534322103, 24.398962656656902, 2.3520787556966147
9000, 20314.37961260478, 378.006378809611, 13.030052185058594, 32.43136405944824, 3.0194918314615884
10000, 25997.90374437968, 455.5536111195882, 11.363903681437174, 41.43333435058594, 3.342151641845703
11000, 29904.22550837199, 543.7827905019125, 15.69676399230957, 40.1155153910319, 3.674666086832682
12000, 37893.81321271261, 648.3900547027588, 28.733015060424805, 60.158491134643555, 4.344463348388672
13000, 45609.3045870463, 733.2722345987955, 17.045338948567707, 44.45155461629232, 4.357814788818359
14000, 49385.35769780477, 864.9680614471436, 18.381913503011067, 48.79633585611979, 5.024194717407227
15000, 76961.52432759602, 1757.674217224121, 27.740637461344402, 99.26414489746094, 8.689959843953451
16000, 135790.94235102335, 1188.4948412577312, 25.73537826538086, 75.53378740946452, 7.018645604451497
17000, 92771.83651924133, 1247.6526896158855, 25.40103594462077, 69.1839059193929, 6.026744842529297
18000, 93183.62712860107, 1469.5751667022705, 25.723854700724285, 70.85561752319336, 6.683746973673503
19000, 105382.5470606486, 1556.8079153696697, 28.084595998128254, 72.52836227416992, 6.672382354736328
20000, 112825.13817151387, 1693.8408215840657, 27.406771977742512, 76.53649648030598, 8.356173833211264
21000, 148393.45320065817, 2187.486012776693, 51.13577842712402, 100.26661554972331, 10.3608767191569
22000, 275386.9518438975, 2218.2342211405435, 37.09880510965983, 96.59067789713542, 8.021910985310873
23000, 173529.6360651652, 2355.2539348602295, 42.44605700174967, 120.65442403157552, 9.35832659403483
24000, 194295.06842295328, 2564.2104148864746, 39.77282842000326, 92.91378657023112, 10.029236475626627
25000, 214583.66211255392, 2758.671840031942, 51.47020022074381, 132.35227266947427, 12.032111485799154
26000, 231337.30308214822, 2940.8132235209146, 57.48661359151205, 120.98876635233562, 11.029243469238281
27000, 252424.08148447672, 3184.4708919525146, 50.468126932779946, 153.07370821634927, 12.365976969401041
28000, 264850.5640029907, 3456.612507502238, 57.15179443359375, 168.44773292541504, 15.040079752604166
29000, 305656.20613098145, 4244.959115982056, 50.46765009562174, 140.03944396972656, 14.0380859375
30000, 337441.0041968028, 3919.4260438283286, 55.4811159769694, 162.09808985392252, 21.05569839477539
